NAME,11/22/16,11/23/16,11/24/16,11/25/16,11/26/16,11/27/16,TOTAL_HILLARY
Alabama,0,0,0,0,0,0,0
Arizona,0,0,0,0,3,0,3
Arkansas,0,0,0,0,0,0,0
California,1,2,0,1,12,1,17
Colorado,2,0,1,0,3,2,8
Connecticut,2,0,0,0,3,1,6
Delaware,0,0,0,0,0,0,0
Florida,4,0,1,0,5,2,12
Georgia,0,2,1,1,1,0,5
Hawaii,1,0,1,0,4,1,7
Idaho,3,1,0,0,3,1,8
Illinois,2,0,0,0,1,1,4
Indiana,4,1,3,2,6,2,18
Iaowa,2,0,0,3,3,0,8
Kansas,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0
Louisiana,2,0,0,0,0,0,2
Maine,1,0,2,0,2,0,5
Maryland,0,0,1,0,1,0,2
Massachusetts,10,1,2,2,13,5,33
Michigan,3,1,1,0,2,2,9
Minnesota,3,2,0,0,4,2,11
Mississippi,0,0,0,0,0,0,0
Missouri,1,1,1,0,3,0,6
Montana,1,0,0,0,0,0,1
Nebraska,0,0,0,0,1,0,1
Nevada,2,0,1,0,0,0,3
New Hampshire,0,0,0,0,0,0,0
New Jersey,1,0,0,0,1,1,3
New Mexico,0,0,0,0,0,1,1
New York,12,6,5,6,35,6,70
North Carolina,1,0,0,0,1,0,2
North Dakota,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0
Oklahoma,1,0,0,0,0,0,1
Oregon,1,1,0,0,1,0,3
Pennsylvania,0,1,0,0,0,0,1
Rhode Island,3,0,0,0,3,1,7
South Carolina,0,0,0,0,1,0,1
South Dakota,0,0,0,0,0,0,0
Tennessee,1,0,0,0,1,0,2
Texas,2,0,0,1,3,0,6
Utah,2,1,1,1,1,0,6
Vermont,0,0,0,0,0,0,0
Virginia,4,7,2,0,7,3,23
Washington,2,0,0,0,2,0,4
West Virginia,0,0,0,0,0,0,0
Wisconsin,0,3,3,0,4,2,12
Wyoming,0,0,0,0,2,0,2
